Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
IDEMIA (formerly OT-Morpho),Y,France,Europe,14 000,2017,Yann Delabrière,n/a,Tier 3 - Large Privately-Owned  requires outside financing,Equipment,Security Technology,Y,n/a,n/a ,3 690.00,2017,https://www.idemia.com/,See MorphoTrust USA,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,https://www.idemia.com/our-journey,https://www.idemia.com/press-release/ot-morpho-becomes-idemia-global-leader-trusted-identities-2017-09-28,309
Esterline Connection Technologies (aka Souriau),Y,France,Europe,3 000,1917,n/a,TDG,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,11,390.00,2012,http://usa.esterline-connection-technologies.com/en-en/souriau,http://ajaproductserviceresource.com/,n/a,n/a,http://www.esterline.com/NewsnbspPressCenter/tabid/208/EntryId/4869/Esterline-Completes-Acquisition-of-The-Souriau-Group.aspx,n/a,611
Business & Decision,Y,France,Europe,2 400,1992,Benjamin Bussenault,BND-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,Corrections Data Systems,n/a,n/a,9,221.30,2019,http://www.businessdecision.us/,See Mi-Case,n/a,n/a,FactSet,n/a,702
Lectra,Y,France,Europe,1 657,1973,Daniel Harari,LSS-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,Y,7,303.80,2019,https://www.lectra.com/en,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,FactSet,n/a,647
Linxis Group,Y,France,Europe,238,2017,Didier Soumet,n/a,Tier 2 - Investment Firm-Owned,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,8,65.10,2018,http://www.linxisgroup.com/LINXIS_GROUP_WEB/UK/GROUPE.awp?P1=,See Unifiller Systems,n/a,n/a,n/a,https://www.unifiller.com/linxis-group-announces-the-acquisition-of-unifiller-systems,949
Deutsche Telekom,Y,Germany,Europe,216 000,1995,Timotheus Höttges,DTE-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,8,87 372.10,2019,https://www.telekom.com/en,See T-Mobile,n/a,n/a,FactSet,https://www.wsj.com/articles/SB964424432543482052,24
ThyssenKrupp,Y,Germany,Europe,161 096,1811,Martina Merz,TKA-DE,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Construction,n/a,n/a,9,45 563.60,2019,https://www.thyssenkrupp.com/,See ThyssenKrupp Elevator,n/a,n/a,FactSet,n/a,51
Bertelsmann,Y,Germany,Europe,117 000,1835,Thomas Rabe,BTG4-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Other,Other,n/a,n/a,8,19 554.10,2019,https://www.bertelsmann.com/,See Relias Learning,n/a,n/a,PrivCo (www.privco.com),https://www.relias.com/press-room/bertelsmann-to-acquire-relias-learning,125
Fresenius Medical Care,Y,Germany,Europe,112 658,1996,Rice Powell,FMS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,n/a,n/a,9,18 702.30,2019,https://fmcna.com/,http://correctionsmarketplace.com/,n/a,n/a,FactSet,n/a,130
Bayer,Y,Germany,Europe,103 000,1863,Werner Baumann,BAYZF,Tier 1b - Publicly Traded - Other,Healthcare,Other,n/a,n/a,7,43 545.00,2019,https://www.bayer.com/,See Monsanto,n/a,n/a,FactSet,n/a,54
Siemens,Y,Germany,Europe,87 800,1847,Joe Kaeser,SIE-DE,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,n/a,7,94 226.80,2019,https://www.siemens.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,21
Wurth Group,Y,Germany,Europe,73 000,1945,Robert Friedmann,n/a,Tier 3 - Large Privately-Owned  requires outside financing,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,n/a ,13 689.60,2016,http://www.wurth.com,See Wurth Louis & Company,n/a,n/a,PrivCo (www.privco.com),n/a,164
Hochtief,Y,Germany,Europe,64 313,1875,Marcelino Fernandez Verdes,HOT-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,13,28 048.00,2019,https://www.hochtief.com,See Turner Construction,n/a,n/a,FactSet,http://www.hochtief.com/hochtief_en/956.jhtml,95
Linde Group  The,Y,Germany,Europe,58 000,1879,Steve Angel,LIN-DE,Tier 1b - Publicly Traded - Other,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,Y,7,28 165.60,2019,https://www.the-linde-group.com/,See Linde Gas North America,n/a,See corrections source,FactSet,n/a,94
Henkel,Y,Germany,Europe,53 450,1876,Carsten Knobel,HEN3-DE,Tier 1b - Publicly Traded - Other,Food & Commissary,Commissary,n/a,n/a,8,21 822.70,2019,https://www.henkel.com/,See Sun Products Corporation,n/a,n/a,FactSet,https://www.henkel-northamerica.com/brands-and-businesses/laundry-and-home-care/the-sun-products-corporation,116
Brenntag,Y,Germany,Europe,16 600,1874,Christian Kohlpaintner,BNR-DE,Tier 1b - Publicly Traded - Other,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,8,13 911.00,2019,http://www.brenntag.com/corporate/en/index.jsp,FL DOC Spending,n/a,n/a,FactSet,n/a,161
Covestro (formerly Bayer MaterialScience),Y,Germany,Europe,16 176,2015,Markus Steilemann,1COV-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Furnishings  Supplies  & Other Facility Equipment,n/a,n/a,10,13 466.40,2019,https://www.covestro.com/,https://www.plastics.covestro.com/en/NewsAndEvents/News/2016-07-28_Covestro-polycarbonate-laminated-sheet-provides-security-with-aesthetics-and-durability,n/a,n/a,FactSet,n/a,166
