Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other,Rank
GTSTechnologySolutions(formerlyAustinRibbon&ComputerSuppliers),Y,TX,NorthAmerica,100,1984,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,SecurityTechnology,n/a,n/a,n/a,124.60,2018,https://www.gts-ts.com/,http://www.tjjd.texas.gov/procurement/home/index?path=/Austin%20Office%20Puchase%20Orders,n/a,n/a,PrivCo(www.privco.com),n/a,810
Innoviss,Y,MD,NorthAmerica,100,n/a,n/a,n/a,Tier4-SmallPrivately-Owned,Operations&Management,ProcurementContracting&OtherAdminServices,Y,n/a,n/a,19.00,2018,http://www.innoviss.com/,n/a,Sludge-ICEContract(https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo(www.privco.com),n/a,1300
MT2,Y,CO,NorthAmerica,100,1996,n/a,n/a,Tier4-SmallPrivately-Owned,Construction&Maintenance,MaintenanceServices,n/a,n/a,n/a,20.00,2018,http://mt2.com/,FLDOCSpending,n/a,n/a,PrivCo(www.privco.com),n/a,1289
NCICInmateCommunications,Y,TX,NorthAmerica,100,1995,n/a,n/a,Tier4-SmallPrivately-Owned,Telecom,PrisonCommunications,n/a,n/a,n/a,32.00,2018,https://www.ncic.com/,http://www.al.com/news/birmingham/index.ssf/2018/03/etowah_sheriff_pocketed_over_7.html,n/a,n/a,PrivCo(www.privco.com),n/a,1138
Ninestar(ApexTechnology,Y,China,Asia,100,2004,JimmyHu,001280-SZ,Tier1b-PubliclyTraded-Other,Equipment,SecurityTechnology,n/a,n/a,7,3097.60,2019,https://chinapex.com/about,SeeLexmarkInternational,n/a,n/a,n/a,https://newsroom.lexmark.com/2016-11-29-Lexmark-announces-completion-of-acquisition-by-Apex-Technology-and-PAG-Asia-Capital,327
NorshieldSecurityProducts,Y,AL,NorthAmerica,100,1981,n/a,n/a,Tier4-SmallPrivately-Owned,Construction&Maintenance,Construction,n/a,n/a,n/a,32.00,2018,https://www.norshield.net/,http://www.4specs.com/s/11/11-1900.html,n/a,n/a,PrivCo(www.privco.com),n/a,1139
PariserIndustries,Y,NJ,NorthAmerica,100,1971,n/a,n/a,Tier4-SmallPrivately-Owned,Construction&Maintenance,MaintenanceServices,n/a,n/a,n/a,47.00,2018,http://pariserchem.com/,http://www.state.nj.us/treasury/purchase/noa/contracts/t2841_13-x-2236.shtml,n/a,n/a,PrivCo(www.privco.com),n/a,1035
ParkerTide,Y,DC,NorthAmerica,100,1997,n/a,n/a,Tier4-SmallPrivately-Owned,Operations&Management,ProcurementContracting&OtherAdminServices,Y,n/a,n/a,16.00,2018,http://www.parkertide.com/,n/a,GovSpend,n/a,PrivCo(www.privco.com),n/a,1338
Pen-Link,Y,NE,NorthAmerica,100,1986,n/a,n/a,Tier4-SmallPrivately-Owned,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,Y,n/a,n/a,32.00,2018,https://www.penlink.com/,n/a,Sludge-ICEContract(https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo(www.privco.com),n/a,1140
PhoenixSupply(akaTJ3LLC),Y,MN,NorthAmerica,100,n/a,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,24.00,2018,http://www.buyphoenixsupply.com/,Seewebsite,n/a,n/a,PrivCo(www.privco.com),n/a,1231
